ID;NOMBRE;MUNICIPIO;PROVINCIA;ALTURA;LATITUD;º;';"""";;GMS;GD (.);LATITUD GD;LONGITUD;º;';"""";;GMS;GD ;LONGITUD GD;Latitud . Longitud;Google maps
9569A;Calanda;Calanda;Teruel;466;364500N;36;45;0;N;"36°45'0""";36.75;36.75;001416W;0;14;16;W;"0°14'16""";0.237777778;0.237777778;36.75.0.237777777777778;{Lat: 36.75.lng: 0.237777777777778}.
9573X;Alcañiz;Alcañiz;Teruel;334;363820N;36;38;20;N;"36°38'20""";36.63888889;36.63888889;000830W;0;8;30;W;"0°8'30""";0.141666667;0.141666667;36.6388888888889.0.141666666666667;{Lat: 36.6388888888889.lng: 0.141666666666667}.
9935X;Valderrobres;Valderrobres;Teruel;482;364538N;36;45;38;N;"36°45'38""";36.76055556;36.76055556;000846E;0;8;46;E;"0°8'46""";0.146111111;0.146111111;36.7605555555556.0.146111111111111;{Lat: 36.7605555555556.lng: 0.146111111111111}.
9998X;Bello;Bello;Teruel;1006;365554N;36;55;54;N;"36°55'54""";36.93166667;36.93166667;012940W;1;29;40;W;"1°29'40""";1.494444444;1.494444444;36.9316666666667.1.49444444444444;{Lat: 36.9316666666667.lng: 1.49444444444444}.
8058X;Oliva;Oliva;València/Valencia;5;431521N;43;15;21;N;"43°15'21""";43.25583333;43.25583333;000545W;0;5;45;W;"0°5'45""";0.095833333;0.095833333;43.2558333333333.0.0958333333333333;{Lat: 43.2558333333333.lng: 0.0958333333333333}.
8058Y;Miramar;Miramar;València/Valencia;12;432348N;43;23;48;N;"43°23'48""";43.39666667;43.39666667;000816W;0;8;16;W;"0°8'16""";0.137777778;0.137777778;43.3966666666667.0.137777777777778;{Lat: 43.3966666666667.lng: 0.137777777777778}.
8072Y;Barx;Barx;València/Valencia;340;431126N;43;11;26;N;"43°11'26""";43.19055556;43.19055556;001817W;0;18;17;W;"0°18'17""";0.304722222;0.304722222;43.1905555555556.0.304722222222222;{Lat: 43.1905555555556.lng: 0.304722222222222}.
8193E;Jalance;Jalance;València/Valencia;372;432545N;43;25;45;N;"43°25'45""";43.42916667;43.42916667;010540W;1;5;40;W;"1°5'40""";1.094444444;1.094444444;43.4291666666667.1.09444444444444;{Lat: 43.4291666666667.lng: 1.09444444444444}.
8203O;Zarra;Zarra;València/Valencia;855;432928N;43;29;28;N;"43°29'28""";43.49111111;43.49111111;010604W;1;6;4;W;"1°6'4""";1.101111111;1.101111111;43.4911111111111.1.10111111111111;{Lat: 43.4911111111111.lng: 1.10111111111111}.
8270X;Bicorp;Bicorp;València/Valencia;305;431444N;43;14;44;N;"43°14'44""";43.24555556;43.24555556;004724W;0;47;24;W;"0°47'24""";0.79;0.79;43.2455555555556.0.79;{Lat: 43.2455555555556.lng: 0.79}.
8283X;Ontinyent;Ontinyent;València/Valencia;350;430849N;43;8;49;N;"43°8'49""";43.14694444;43.14694444;003628W;0;36;28;W;"0°36'28""";0.607777778;0.607777778;43.1469444444444.0.607777777777778;{Lat: 43.1469444444444.lng: 0.607777777777778}.
8290X;Enguera;Enguera;València/Valencia;740;431619N;43;16;19;N;"43°16'19""";43.27194444;43.27194444;005258W;0;52;58;W;"0°52'58""";0.882777778;0.882777778;43.2719444444444.0.882777777777778;{Lat: 43.2719444444444.lng: 0.882777777777778}.
8293X;Xàtiva;Xàtiva;València/Valencia;88;432131N;43;21;31;N;"43°21'31""";43.35861111;43.35861111;003125W;0;31;25;W;"0°31'25""";0.523611111;0.523611111;43.3586111111111.0.523611111111111;{Lat: 43.3586111111111.lng: 0.523611111111111}.
8300X;Carcaixent;Carcaixent;València/Valencia;25;432336N;43;23;36;N;"43°23'36""";43.39333333;43.39333333;002645W;0;26;45;W;"0°26'45""";0.445833333;0.445833333;43.3933333333333.0.445833333333333;{Lat: 43.3933333333333.lng: 0.445833333333333}.
8309X;Utiel;Utiel;València/Valencia;758;430838N;43;8;38;N;"43°8'38""";43.14388889;43.14388889;011441W;1;14;41;W;"1°14'41""";1.244722222;1.244722222;43.1438888888889.1.24472222222222;{Lat: 43.1438888888889.lng: 1.24472222222222}.
8319X;Buñol;Buñol;València/Valencia;585;431058N;43;10;58;N;"43°10'58""";43.18277778;43.18277778;005125W;0;51;25;W;"0°51'25""";0.856944444;0.856944444;43.1827777777778.0.856944444444444;{Lat: 43.1827777777778.lng: 0.856944444444444}.
8325X;Polinyà de Xúquer;Polinyà de Xúquer;València/Valencia;12;431521N;43;15;21;N;"43°15'21""";43.25583333;43.25583333;002219W;0;22;19;W;"0°22'19""";0.371944444;0.371944444;43.2558333333333.0.371944444444444;{Lat: 43.2558333333333.lng: 0.371944444444444}.
8337X;Turís;Turís;València/Valencia;186;432238N;43;22;38;N;"43°22'38""";43.37722222;43.37722222;003729W;0;37;29;W;"0°37'29""";0.624722222;0.624722222;43.3772222222222.0.624722222222222;{Lat: 43.3772222222222.lng: 0.624722222222222}.
8381X;Ademuz;Ademuz;València/Valencia;705;425931N;42;59;31;N;"42°59'31""";42.99194444;42.99194444;011701W;1;17;1;W;"1°17'1""";1.283611111;1.283611111;42.9919444444444.1.28361111111111;{Lat: 42.9919444444444.lng: 1.28361111111111}.
8395X;Chelva;Chelva;València/Valencia;515;424835N;42;48;35;N;"42°48'35""";42.80972222;42.80972222;005935W;0;59;35;W;"0°59'35""";0.993055556;0.993055556;42.8097222222222.0.993055555555555;{Lat: 42.8097222222222.lng: 0.993055555555555}.
8409X;Lliria;Llíria;València/Valencia;198;424823N;42;48;23;N;"42°48'23""";42.80638889;42.80638889;003914W;0;39;14;W;"0°39'14""";0.653888889;0.653888889;42.8063888888889.0.653888888888889;{Lat: 42.8063888888889.lng: 0.653888888888889}.
8414A;Valencia Aeropuerto;Manises;València/Valencia;56;394744N;39;47;44;N;"39°47'44""";39.79555556;39.79555556;002829W;0;28;29;W;"0°28'29""";0.474722222;0.474722222;39.7955555555556.0.474722222222222;{Lat: 39.7955555555556.lng: 0.474722222222222}.
8416Y;Valencia;Valencia;València/Valencia;11;400516N;40;5;16;N;"40°5'16""";40.08777778;40.08777778;002159W;0;21;59;W;"0°21'59""";0.366388889;0.366388889;40.0877777777778.0.366388888888889;{Lat: 40.0877777777778.lng: 0.366388888888889}.
8446Y;Sagunto;Sagunto/Sagunt;València/Valencia;24;402600N;40;26;0;N;"40°26'0""";40.43333333;40.43333333;001515W;0;15;15;W;"0°15'15""";0.254166667;0.254166667;40.4333333333333.0.254166666666667;{Lat: 40.4333333333333.lng: 0.254166666666667}.
9562X;Morella;Morella;Castelló/Castellón;990;431212N;43;12;12;N;"43°12'12""";43.20333333;43.20333333;000607W;0;6;7;W;"0°6'7""";0.101944444;0.101944444;43.2033333333333.0.101944444444444;{Lat: 43.2033333333333.lng: 0.101944444444444}.
8005X;Fontanars dels Alforins;Fontanars dels Alforins;València/Valencia;622;420847N;42;8;47;N;"42°8'47""";42.14638889;42.14638889;004745W;0;47;45;W;"0°47'45""";0.795833333;0.795833333;42.1463888888889.0.795833333333333;{Lat: 42.1463888888889.lng: 0.795833333333333}.
